"","year","age","caan","caaw","waa","waa.sd","laa","laa.sd"
"1",1976,1,5080,899,0,0,258,18
"2",1976,2,37835,11126,0,0,301,14
"3",1976,3,28806,10303,0,0,317,12
"4",1976,4,6419,2941,0,0,341,13
"5",1976,5,4401,2195,0,0,351,14
"6",1976,6,2359,1339,1,0,365,15
"7",1976,7,2919,1728,1,0,370,12
"8",1976,8,2008,1241,1,0,375,13
"9",1976,9,1341,865,1,0,380,14
"10",1976,10,636,428,1,0,385,15
"11",1977,1,4738,582,0,0,228,17
"12",1977,2,14741,4372,0,0,299,12
"13",1977,3,29710,11231,0,0,321,11
"14",1977,4,8831,3844,0,0,335,10
"15",1977,5,1637,835,1,0,350,12
"16",1977,6,913,511,1,0,360,15
"17",1977,7,616,387,1,0,373,11
"18",1977,8,656,430,1,0,378,14
"19",1977,9,402,269,1,0,381,18
"20",1977,10,416,304,1,0,391,15
"21",1978,1,78,14,0,0,255,15
"22",1978,2,2801,867,0,0,304,12
"23",1978,3,12088,4956,0,0,332,13
"24",1978,4,25956,11772,0,0,343,9
"25",1978,5,10683,5209,0,0,351,10
"26",1978,6,2357,1273,1,0,362,10
"27",1978,7,1153,683,1,0,373,12
"28",1978,8,545,345,1,0,381,12
"29",1978,9,685,473,1,0,392,15
"30",1978,10,448,307,1,0,392,16
"31",1979,1,6742,1106,0,0,253,11
"32",1979,2,11350,2793,0,0,285,15
"33",1979,3,1892,786,0,0,332,21
"34",1979,4,7476,3792,1,0,354,9
"35",1979,5,18990,10087,1,0,359,9
"36",1979,6,11867,6690,1,0,365,10
"37",1979,7,4834,2825,1,0,369,10
"38",1979,8,1589,1039,1,0,381,13
"39",1979,9,1096,741,1,0,385,15
"40",1979,10,1043,755,1,0,394,13
"41",1980,1,55,11,0,0,255,3
"42",1980,2,5644,2313,0,0,323,13
"43",1980,3,6818,3010,0,0,331,11
"44",1980,4,2593,1354,1,0,350,15
"45",1980,5,5096,3029,1,0,366,12
"46",1980,6,10051,6151,1,0,370,11
"47",1980,7,5681,3616,1,0,374,11
"48",1980,8,1925,1308,1,0,382,11
"49",1980,9,1120,804,1,0,389,13
"50",1980,10,949,700,1,0,392,11
"51",1981,1,9477,1730,0,0,255,12
"52",1981,2,1758,745,0,0,331,12
"53",1981,3,7835,4301,1,0,359,12
"54",1981,4,3988,2271,1,0,363,12
"55",1981,5,2553,1639,1,0,377,8
"56",1981,6,4571,3039,1,0,382,10
"57",1981,7,4983,3396,1,0,385,11
"58",1981,8,2054,1457,1,0,389,11
"59",1981,9,664,501,1,0,397,12
"60",1981,10,344,275,1,0,404,14
"61",1982,1,13994,1532,0,0,219,35
"62",1982,2,4498,1749,0,0,325,14
"63",1982,3,1633,922,1,0,362,15
"64",1982,4,4177,2673,1,0,376,12
"65",1982,5,598,423,1,0,388,11
"66",1982,6,2335,1746,1,0,394,12
"67",1982,7,3065,2266,1,0,392,11
"68",1982,8,4116,3108,1,0,395,12
"69",1982,9,1068,809,1,0,395,10
"70",1982,10,1346,1154,1,0,409,18
"71",1983,1,78918,10468,0,0,232,23
"72",1983,2,17821,5317,0,0,297,29
"73",1983,3,7124,2557,0,0,316,21
"74",1983,4,558,267,0,0,344,28
"75",1983,5,650,412,1,0,375,24
"76",1983,6,74,50,1,0,385,17
"77",1983,7,60,46,1,0,399,14
"78",1983,8,198,148,1,0,397,10
"79",1983,9,448,341,1,0,399,12
"80",1983,10,256,199,1,0,401,16
"81",1984,1,42,9,0,0,272,8
"82",1984,2,26081,7856,0,0,300,14
"83",1984,3,14354,6225,0,0,336,14
"84",1984,4,1190,611,1,0,353,23
"85",1984,5,279,194,1,0,389,16
"86",1984,6,628,455,1,0,395,13
"87",1984,7,136,99,1,0,397,11
"88",1984,8,180,147,1,0,412,14
"89",1984,9,708,557,1,0,406,13
"90",1984,10,2526,2078,1,0,411,14
"91",1985,1,24874,3552,0,0,242,14
"92",1985,2,1026,355,0,0,315,19
"93",1985,3,52656,18984,0,0,320,12
"94",1985,4,10199,4712,0,0,345,20
"95",1985,5,719,419,1,0,371,19
"96",1985,6,232,164,1,0,389,37
"97",1985,7,885,638,1,0,396,16
"98",1985,8,197,142,1,0,393,12
"99",1985,9,134,106,1,0,407,14
"100",1985,10,2121,1835,1,0,418,16
"101",1986,1,2405,379,0,0,252,9
"102",1986,2,15674,4511,0,0,302,10
"103",1986,3,5864,2365,0,0,334,14
"104",1986,4,45165,18714,0,0,336,13
"105",1986,5,7578,3743,0,0,353,18
"106",1986,6,535,317,1,0,373,17
"107",1986,7,217,164,1,0,401,10
"108",1986,8,245,199,1,0,410,11
"109",1986,9,76,63,1,0,413,7
"110",1986,10,751,641,1,0,416,12
"111",1987,1,1810,384,0,0,275,15
"112",1987,2,5525,1704,0,0,307,14
"113",1987,3,8977,3670,0,0,333,11
"114",1987,4,2876,1347,0,0,346,13
"115",1987,5,35707,17468,0,0,351,12
"116",1987,6,4370,2510,1,0,368,18
"117",1987,7,168,103,1,0,374,21
"118",1987,8,111,85,1,0,402,16
"119",1987,9,47,43,1,0,420,12
"120",1987,10,272,244,1,0,420,10
"121",1988,1,25187,3213,0,0,234,9
"122",1988,2,1981,710,0,0,316,17
"123",1988,3,1896,823,0,0,336,13
